"City","Fatalities","Median.Age","Male.Population","Female.Population","Foreign.born","Average.Household.Size","White","Black or African-American","Hispanic or Latino","Asian","American Indian and Alaska Native"
"West Palm Beach",12,39.6,49262,57520,30675,2.53,60648,39226,26132,3191,406
"Boston",11,31.8,322149,347320,190123,2.38,378543,189347,130656,69976,5580
"Detroit",11,34.8,319265,357859,39861,2.6,104260,545988,53980,10804,6007
"Glendale",11,34.4,116795,123319,44133,2.89,202539,16254,83711,15245,4064
"Jackson",11,31.7,79039,91772,1789,2.65,28775,139567,3017,864,323
"Lafayette",11,31.7,64018,63643,5396,2.54,85282,39862,6556,2776,1183
"Mobile",11,38,91275,103030,7234,2.4,93755,96397,5229,5518,2816
"Oxnard",11,31,101906,105346,78678,4.08,165423,7183,154911,18249,6241
"Palmdale",11,32.6,76361,81989,41974,3.54,73480,27398,87452,10981,2800
"Pomona",11,32.1,74945,78307,53879,3.63,94296,10774,108787,17646,3866
"Salinas",11,30.4,77765,79621,58693,3.72,95283,3391,121196,11227,2855
"Shreveport",11,35.2,93138,103856,5658,2.53,79319,112923,5081,4033,1647
"South Gate",11,32.5,47758,48641,40571,3.97,55444,1615,91312,971,618
"Whittier",11,36.1,44397,43039,17145,3.11,49388,1262,61249,3503,680
"Arlington",10,34.4,113981,115183,55205,2.19,171673,22372,35911,28595,845
"Durham",10,33.2,121153,136445,38642,2.4,127680,108088,36304,15740,3154
"Knoxville",10,33.1,89978,95334,10285,2.21,145055,35049,8640,4717,2304
"Little Rock",10,36.6,96997,100989,16640,2.36,102312,85606,15500,8423,961
"Madison",10,30.7,122596,126360,30090,2.23,204302,20424,19697,23937,2296
"Salem",10,35.4,80839,83704,19668,2.69,148650,3770,39414,6076,7678
"West Covina",10,39.8,51629,56860,37038,3.56,48046,3693,58907,32716,518
"Carson",9,40.4,43790,49506,33860,3.7,28801,19947,32938,31706,2119
"Columbia",9,37.9,52202,51265,23249,2.68,58343,30075,8033,17821,488
"Dayton",9,32.8,66631,73966,7381,2.26,86016,57280,4945,1885,2010
"Escondido",9,33.3,76551,74907,46298,3.27,120781,5631,73793,14398,3151
"Lakeland",9,38.1,47840,56570,11592,2.56,75636,25111,16501,3348,288
"Longview",9,36.8,40065,41525,8782,2.55,60997,19904,17614,1810,253
"Midland",9,32.1,66595,66355,17061,2.78,115958,10379,58677,3279,1922
"Nashville",9,34.1,314231,340365,88193,2.39,432447,188844,67526,27355,5474
"North Charleston",9,30.7,56549,55315,8789,2.82,48956,56734,12975,4181,1042
"Rochester",9,31.4,100135,109673,17735,2.36,105636,93072,38004,8748,4856
