"City","Fatalities","Median.Age","Male.Population","Female.Population","Foreign.born","Average.Household.Size","White","Black or African-American","Hispanic or Latino","Asian","American Indian and Alaska Native"
"Thousand Oaks",2,44.8,65113,64216,25330,2.79,108375,3229,26754,16134,2690
"Virginia Beach",2,35.4,222684,230061,38360,2.61,324924,99948,36309,38715,4590
"Alhambra",1,41,42184,43388,44441,2.89,20811,1905,31386,44067,687
"Ann Arbor",1,28.1,58789,58281,20717,2.17,90173,9577,5888,18797,1935
"Apple Valley",1,34.3,32873,39312,5801,3.03,60767,9124,25928,2281,1446
"Arvada",1,41,54870,60165,4921,2.49,107639,2985,16419,2922,2370
"Atascocita",1,32.8,37424,40816,8657,3.03,50630,21491,20441,2441,1024
"Bellingham",1,30.7,41286,43857,8713,2.44,74183,2325,6966,8010,2056
"Cary",1,39.9,78932,81582,30008,2.61,119814,15496,10327,25124,1752
"Cedar Park",1,34.4,31248,33589,5207,3.05,56991,3667,11872,5654,219
"Clifton",1,38.5,41932,44409,27979,3.11,51516,8743,33176,5840,2417
"Clovis",1,37.8,52392,51780,13409,2.76,78029,3434,23744,14249,1876
"College Station",1,22.9,54125,53774,16145,2.52,84892,11316,17784,10915,605
"Danbury",1,37.3,43435,41227,25675,2.74,55917,8454,25145,7350,1086
"Eagan",1,36.8,31587,34701,8642,2.49,52612,8032,4328,6923,684
"Eau Claire",1,32,32327,35106,2833,2.4,62194,725,1488,4202,876
"Erie",1,35.3,48618,50852,6275,2.31,78636,20564,7859,3306,913
"Evanston",1,36.8,34146,41377,15003,2.29,54496,11671,9075,8800,544
"Fall River",1,39.3,43314,45456,14775,2.21,77242,6389,9081,1891,1481
"Folsom",1,40.9,41051,35317,13234,2.62,57435,3985,5822,15569,998
"Fort Smith",1,34.9,43346,44849,13177,2.44,66004,9851,17104,6228,2993
"Framingham",1,40.3,35442,35768,19070,2.49,52205,6944,13000,5993,849
"Gaithersburg",1,35.7,32211,35234,28133,2.73,36639,12482,18721,13169,672
"Goodyear",1,38.6,36711,42292,11774,2.97,63493,8678,21603,5701,1301
"Hammond",1,36,38923,38687,9224,2.61,41705,20442,25320,1540,1509
"Hampton",1,35.5,66214,70240,6204,2.48,61753,70303,7513,4561,2534
"Hesperia",1,29.4,43588,49698,16667,3.52,78718,4889,53765,2131,1712
"Independence",1,38.6,54348,62907,4911,2.33,98940,10394,12236,558,1883
"Iowa City",1,25.5,37089,37138,9202,2.36,59839,7219,4072,5533,610
"Jonesboro",1,32.6,35666,38240,3222,2.44,56626,14599,4614,1282,2109
"Kirkland",1,40.8,42159,45108,18570,2.3,70491,1041,6720,15277,1155
"Lake Forest",1,40.3,41515,40982,20784,2.76,59846,3526,17410,16690,1482
"Lauderhill",1,35.7,32813,38761,25471,3.02,10788,56948,6089,2662,1186
"Lawton",1,31.1,51099,45560,6123,2.72,63948,25767,13780,5173,10027
"Lewisville",1,31.6,52776,52032,24865,2.78,70278,16948,31757,12412,1371
"Lorain",1,35.6,30844,32807,1531,2.52,46667,16388,19342,308,904
"Lowell",1,33.4,54422,56298,33414,2.8,68838,7310,22095,28944,868
"Lynchburg",1,28.7,38614,41198,4364,2.48,53727,23271,2689,2910,1024
"Manteca",1,35.3,37053,38397,13942,3.25,56156,6279,31552,8172,2861
"McKinney",1,35.6,77339,85548,25760,2.91,129192,16689,31705,13882,1801
"Melbourne",1,43.4,39180,40956,9685,2.37,65397,11721,6060,5186,251
"Meridian",1,38,43353,47400,8110,2.54,84625,1809,6596,2693,492
"Mission Viejo",1,44.9,48849,48314,17308,2.85,81186,2066,18913,13073,683
"Mount Vernon",1,38.5,31876,36745,23777,2.85,13106,49830,9446,1497,356
"Murrieta",1,35.3,49363,60453,19875,3.3,77700,9259,32944,16041,2327
"New Bedford",1,38.6,43793,51166,19024,2.39,63938,8890,18336,1811,346
"New Rochelle",1,40.6,38871,40967,26960,2.85,44435,17723,23548,4218,645
"Orem",1,26.1,48695,45762,12808,3.26,85512,1837,18342,3862,976
"Overland Park",1,38.2,93355,93156,21407,2.41,161153,10685,10104,17123,1264
"Palo Alto",1,40.2,31451,35397,23348,2.55,43019,1049,3496,24055,556
"Parma",1,40.8,38425,41518,6909,2.42,76282,2928,5361,974,876
"Rancho Cucamonga",1,34.5,88127,87105,33878,3.18,111832,24437,65823,24519,2789
"Reading",1,29.4,43668,44205,17043,2.95,64401,20821,57032,903,9671
"Redwood City",1,37.1,42676,42624,27652,2.64,51019,2758,29011,14873,664
"Roanoke",1,36.9,47252,52645,7346,2.35,68761,30920,6091,3237,594
"Roswell",1,38.8,48637,45859,16501,2.7,69857,15458,16920,7240,585
"San Tan Valley",1,31.3,40429,42368,5757,3.44,75429,2027,18733,1378,3941
"Sandy",1,34.6,46923,46689,6691,3.22,85130,522,6832,5657,507
"Silver Spring",1,33.8,40601,41862,30908,2.6,37756,21330,25924,8841,1084
"Sioux City",1,34.3,38827,43949,7471,2.57,70513,3994,15602,3400,1956
"South Bend",1,32.4,50483,53274,8779,2.72,71391,30005,16462,1788,411
"South San Francisco",1,39.4,34177,33094,27528,3.33,28135,2327,29173,23008,535
"Springdale",1,31.8,36840,43614,19969,3.04,56843,1859,30200,1422,547
"Toms River",1,43.7,43864,43886,6852,2.71,79538,3703,10267,4691,251
"Tustin",1,33.4,39511,41052,25034,3.27,39660,2954,33998,16074,538
"Upland",1,39.7,36226,40221,16552,2.77,46704,5717,30787,9182,1068
"Warner Robins",1,31.4,35093,38909,3210,2.5,42306,29307,5378,2723,1309
"Warren",1,43.2,64063,71293,18822,2.45,96357,29391,3210,12156,1516
"Waukegan",1,32.3,45514,42833,30997,2.92,65629,11697,54214,4933,677
"Waukesha",1,35.8,36263,35713,4982,2.35,66757,1923,9713,2904,481
"Westland",1,39.9,37742,44253,6429,2.41,60576,16422,2827,4843,429
"Worcester",1,34.9,90951,93855,36907,2.43,131898,27491,39000,15932,1917
"Wyoming",1,32.8,35967,39310,8612,2.65,58989,8839,15325,3227,2444
"Yorba Linda",1,45.5,31960,36006,15532,3,49980,1326,10599,17616,211
